"id","time","time_stamp","list","age","lp","doe_catalan","doe_spanish","edu_parent"
"55701",1,2020-06-15,"BL-Short-D",24.8049281314168,"Bilingual",0.3,0.7,"University"
"55713",1,2020-04-09,"BL-Short-D",22.4722792607803,"Bilingual",0.25,0.75,"Vocational"
"55717",2,2020-06-10,"BL-Short-C",24.5092402464066,"Bilingual",0.4,0.5,"University"
"55719",1,2020-06-01,"BL-Short-D",24.1149897330595,"Monolingual",0.9,0.1,"University"
"55721",1,2020-06-13,"BL-Short-A",24.5420944558522,"Bilingual",0.5,0.5,"University"
"55725",1,2020-06-02,"BL-Short-A",24.1478439425051,"Bilingual",0.75,0.25,"University"
"55734",1,2020-06-13,"BL-Short-B",24.476386036961,"Monolingual",0,0.9,"Vocational"
"55740",1,2020-06-11,"BL-Short-B",24.3778234086242,"Bilingual",0.7,0.3,"University"
"55742",1,2020-04-08,"BL-Short-A",22.2422997946612,"Monolingual",0.2,0.8,"University"
"55746",1,2020-04-24,"BL-Short-D",22.735112936345,"Monolingual",0.8,0.2,"University"
"55753",1,2020-06-09,"BL-Short-C",24.2792607802875,"Bilingual",0.6,0.4,"Vocational"
"55754",1,2020-06-16,"BL-Short-B",24.476386036961,"Bilingual",0.6,0.4,"University"
"55758",1,2020-04-13,"BL-Short-D",22.3408624229979,"Bilingual",0.5,0.5,"University"
"55760",2,2020-06-23,"BL-Short-C",24.6406570841889,"Bilingual",0.5,0.5,"Secondary"
"55807",1,2020-06-10,"BL-Short-D",23.8850102669405,"Monolingual",1,0,"University"
"55813",1,2020-05-07,"BL-Short-D",22.7679671457906,"Monolingual",0.8,0.1,"University"
"55816",1,2020-07-01,"BL-Short-B",24.5749486652977,"Bilingual",0.4,0.6,"University"
"55819",1,2020-07-01,"BL-Short-B",24.6078028747433,"Bilingual",0.45,0.5,"Vocational"
"55838",1,2020-06-05,"BL-Short-B",23.6878850102669,"Monolingual",1,0,"University"
"55841",1,2020-06-06,"BL-Short-C",23.6221765913758,"Monolingual",0.8,0.15,"University"
"55842",2,2020-06-09,"BL-Short-B",23.6550308008214,"Bilingual",0.5,0.5,"University"
"55848",2,2020-05-23,"BL-Short-C",23.0636550308008,"Bilingual",0.7,0.3,"Vocational"
"55849",1,2020-06-07,"BL-Short-D",23.5564681724846,"Monolingual",0.9,0,"Complementary"
"55850",1,2020-05-29,"BL-Short-A",23.2936344969199,"Bilingual",0.6,0.4,"University"
"55851",1,2020-05-14,"BL-Short-B",22.7679671457906,"Bilingual",0.7,0.3,"University"
"55856",1,2020-07-02,"BL-Short-C",24.4106776180698,"Bilingual",0.3,0.7,"University"
"55863",1,2020-05-31,"BL-Short-B",23.2279260780287,"Bilingual",0.4,0.6,"University"
"55872",1,2020-05-13,"BL-Short-C",22.5379876796715,"Monolingual",0.95,0.05,"University"
"55891",1,2020-06-07,"BL-Short-B",23.2607802874743,"Monolingual",1,0,"University"
"55892",1,2020-05-15,"BL-Short-B",22.5379876796715,"Bilingual",0.6,0.35,"University"
"55897",1,2020-05-14,"BL-Short-A",22.3408624229979,"Bilingual",0.75,0.25,"Vocational"
"55898",2,2020-06-10,"BL-Short-A",23.2936344969199,"Monolingual",0.8,0.2,"Vocational"
"55910",2,2020-04-10,"BL-Short-B",21.0924024640657,"Bilingual",0.5,0.5,"Vocational"
"55922",2,2020-06-28,"BL-Short-D",23.8193018480493,"Bilingual",0.6,0.4,"Vocational"
"55928",1,2020-06-02,"BL-Short-B",26.9404517453799,"Bilingual",0.4,0.6,"University"
"55940",1,2020-06-16,"BL-Short-C",27.006160164271,"Bilingual",0.7,0.3,"University"
"55955",2,2020-06-12,"BL-Short-C",23.0636550308008,"Monolingual",0.8,0.2,"University"
"55963",1,2020-06-19,"BL-Short-D",23.1950718685832,"Bilingual",0.35,0.6,"University"
"55966",2,2020-05-27,"BL-Short-B",22.4394250513347,"Bilingual",0.7,0.3,"University"
"55971",2,2020-05-21,"BL-Short-A",22.2094455852156,"Monolingual",1,0,"University"
"55977",1,2020-06-08,"BL-Short-A",22.7679671457906,"Bilingual",0.6,0.4,"University"
"55979",1,2020-05-24,"BL-Short-B",22.2751540041068,"Bilingual",0.6,0.3,"University"
"55995",1,2020-07-13,"BL-Short-D",23.8850102669405,"Bilingual",0.3,0.6,"University"
"56001",1,2020-07-09,"BL-Short-A",23.7207392197125,"Bilingual",0.7,0.3,"University"
"56026",1,2020-07-06,"BL-Short-D",23.4250513347023,"Bilingual",0.6,0.4,"University"
"56030",1,2020-05-10,"BL-Short-D",21.5195071868583,"Bilingual",0.4,0.6,"University"
"56031",2,2020-06-06,"BL-Short-C",22.4065708418891,"Bilingual",0.7,0.3,"University"
"56034",2,2020-05-11,"BL-Short-A",21.3223819301848,"Monolingual",1,0,"University"
"56039",1,2020-04-07,"BL-Short-C",20.1724845995893,"Bilingual",0.3,0.7,"Vocational"
"56046",1,2020-07-06,"BL-Short-B",23.129363449692,"Monolingual",0.8,0.2,"University"
"56048",1,2020-06-01,"BL-Short-B",21.388090349076,"Bilingual",0.5,0.5,"University"
"56066",1,2020-05-24,"BL-Short-D",20.8952772073922,"Monolingual",0.85,0.15,"University"
"56069",1,2020-05-01,"BL-Short-B",20.1067761806982,"Bilingual",0.45,0.55,"University"
"56070",2,2020-07-15,"BL-Short-A",22.5051334702259,"Bilingual",0.5,0.5,"University"
"56074",1,2020-05-26,"BL-Short-D",20.8624229979466,"Monolingual",0.8,0.2,"University"
"56079",1,2020-05-08,"BL-Short-D",20.3367556468172,"Monolingual",1,0,"Complementary"
"56084",1,2020-05-13,"BL-Short-D",20.3696098562628,"Bilingual",0.7,0.3,"Vocational"
"56085",1,2020-06-28,"BL-Short-C",21.8480492813142,"Bilingual",0.3,0.7,"University"
