"te","meaning","language","item","ipa","xsampa","lv","n_phon","n_syll","syll","freq","freq_syll","list"
180,"wolf","Spanish","lobo","ˈlo.βo","""lo.Bo",0.25,4,2,"lo, Bo",5.94413604738376,14.0297163339536,"A, B, C, D"
181,"parrot","Catalan","lloro","ˈʎɔ.ɾu","""LO.4u",0.25,4,2,"LO, 4u",6.01470876447691,12.5062191522904,"D"
181,"parrot","Spanish","loro","ˈlo.ɾo","""lo.4o",0.25,4,2,"lo, 4o",6.01470876447691,13.9475479631355,"D"
182,"butterfly","Catalan","papallona","pə.pəˈʎo.nə","p@.p@""Lo.n@",0.125,8,4,"p@, p@, Lo, n@",5.92394514797859,27.0526469491488,"A, B, C, D"
182,"butterfly","Spanish","mariposa","ma.ɾiˈpo.sa","ma.4i""po.sa",0.125,8,4,"ma, 4i, po, sa",5.92394514797859,27.8986058856966,"A, B, C, D"
183,"ladybug","Catalan","marieta","mə.ɾiˈɛ.tə","m@.4i""E.t@",0.5,7,4,"m@, 4i, E, t@",5.87731226990098,27.1846954772482,"B"
183,"ladybug","Spanish","mariquita","ma.ɾiˈki.ta","ma.4i""ki.ta",0.5,8,4,"ma, 4i, ki, ta",5.87731226990098,27.3568006036319,"B"
185,"fly (animal)","Catalan","mosca","ˈmos.kə","""mos.k@",0.8,5,2,"mos, k@",5.98948955665153,13.1215517681613,"D"
185,"fly (animal)","Spanish","mosca","ˈmos.ka","""mos.ka",0.8,5,2,"mos, ka",5.98948955665153,13.4300430200244,"D"
187,"bear","Catalan","os","os","os",0.666666666666667,2,1,"os",6.25929079829045,6.25929079829045,"B"
187,"bear","Spanish","oso","ˈo.so","""o.so",0.666666666666667,3,2,"o, so",6.25929079829045,14.0860548982744,"B"
189,"bird","Catalan","ocell","uˈseʎ","u""seL",0,4,2,"u, seL",6.18142803644294,13.0899572652526,"A, B, C, D"
189,"bird","Spanish","pajaro","ˈpa.xa.ɾo","""pa.xa.4o",0,6,3,"pa, xa, 4o",6.18142803644294,21.342944235858,"A, B, C, D"
190,"pigeon","Catalan","colom","kuˈlom","ku""lom",0.5,5,2,"ku, lom",5.55540877435704,12.5043899015186,"A, B, C, D"
190,"pigeon","Spanish","paloma","paˈlo.ma","pa""lo.ma",0.5,6,3,"pa, lo, ma",5.55540877435704,21.7382455680906,"A, B, C, D"
192,"panther","Catalan","pantera","paŋ.tɛ.ɾə","paN.tE.4@",0.571428571428571,7,3,"paN, tE, 4@",5.92810126364467,19.2365871609217,"C"
192,"panther","Spanish","pantera","panˈte.ɾa","pan""te.4a",0.571428571428571,7,3,"pan, te, 4a",5.92810126364467,20.9580305072336,"C"
193,"duck","Catalan","anec","ˈa.nək","""a.n@k",0,4,2,"a, n@k",6.21810946031747,12.9770933528032,"A, B, C, D"
193,"duck","Spanish","pato","ˈpa.to","""pa.to",0,4,2,"pa, to",6.21810946031747,14.6519382910072,"A, B, C, D"
194,"turkey","Catalan","galldindi","ɡaʎˈðin.di","gaL""Din.di",0.125,8,3,"gaL, Din, di",6.03999555543596,18.8409757147976,"A"
194,"turkey","Spanish","pavo","ˈpa.βo","""pa.Bo",0.125,4,2,"pa, Bo",6.03999555543596,14.2582080053899,"A"
196,"fish (animal)","Catalan","peix1","peʃ","peS",0.666666666666667,3,1,"peS",6.18185393432927,6.48288392999326,"A, B, C, D"
196,"fish (animal)","Spanish","pez","peθ","peT",0.666666666666667,3,1,"peT",6.18185393432927,6.18185393432927,"A, B, C, D"
197,"penguin","Catalan","pingui","piŋˈɡwi","piN""gwi",0.625,6,2,"piN, gwi",6.05922425587861,12.1184485117572,"D"
197,"penguin","Spanish","pinguino","pinˈɡwi.no","pin""gwi.no",0.625,8,3,"pin, gwi, no",6.05922425587861,19.1098629621247,"D"
198,"chick","Catalan","pollet","puˈʎɛt","pu""LEt",0.5,5,2,"pu, LEt",6.14519826671071,12.8735651942477,"A"
198,"chick","Spanish","pollito","poˈʎi.to","po""Li.to",0.5,6,3,"po, Li, to",6.14519826671071,20.763810399292,"A"
199,"octopus","Catalan","pop","pop","pop",0.4,3,1,"pop",5.9550190645217,5.9550190645217,"B"
199,"octopus","Spanish","pulpo","ˈpul.po","""pul.po",0.4,5,2,"pul, po",5.9550190645217,13.1314377260155,"B"
200,"frog","Catalan","granota","ɡɾəˈnɔ.tə","g4@""nO.t@",0.142857142857143,7,3,"g4@, nO, t@",6.14549551078982,20.3236211372511,"A, B, C, D"
200,"frog","Spanish","rana","ˈra.na","""ra.na",0.142857142857143,4,2,"ra, na",6.14549551078982,14.2325665876996,"A, B, C, D"
201,"rat","Catalan","rata","ˈra.tə","""ra.t@",0.75,4,2,"ra, t@",5.83435106422283,14.0290137234746,"D"
201,"rat","Spanish","rata","ˈra.ta","""ra.ta",0.75,4,2,"ra, ta",5.83435106422283,14.3077035094309,"D"
202,"mouse","Catalan","ratoli1","rə.tuˈli","r@.tu""li",0.333333333333333,6,3,"r@, tu, li",6.05227390003781,20.0891000509023,"A"
202,"mouse","Spanish","raton1","raˈton","ra""ton",0.333333333333333,5,2,"ra, ton",6.05227390003781,13.2609294622045,"A"
203,"snake","Catalan","serp","serp","serp",0.333333333333333,4,1,"serp",6.04361773911788,6.04361773911788,"B"
203,"snake","Spanish","serpiente","seɾˈpjen.te","se4""pjen.te",0.333333333333333,9,3,"se4, pjen, te",6.04361773911788,19.2497021120347,"B"
204,"tiger","Catalan","tigre","ˈti.ɣɾə","""ti.G4@",0.8,5,2,"ti, G4@",6.04416321685236,13.0615603088039,"C"
204,"tiger","Spanish","tigre","ˈti.ɣɾe","""ti.G4e",0.8,5,2,"ti, G4e",6.04416321685236,13.12392666838,"C"
206,"turtle","Catalan","tortuga","turˈtu.ɣə","tur""tu.G@",0.571428571428571,7,3,"tur, tu, G@",6.00542444026658,19.7059870705894,"A"
206,"turtle","Spanish","tortuga","toɾˈtu.ɣa","to4""tu.Ga",0.571428571428571,7,3,"to4, tu, Ga",6.00542444026658,19.4261157206832,"A"
207,"cow","Catalan","vaca","ˈba.kə","""ba.k@",0.75,4,2,"ba, k@",6.17698742870573,13.3090496402155,"A, B, C, D"
207,"cow","Spanish","vaca","ˈba.ka","""ba.ka",0.75,4,2,"ba, ka",6.17698742870573,14.3849907052741,"A, B, C, D"
208,"fox","Catalan","guineu","ɡiˈnɛw","gi""nEw",0,5,2,"gi, nEw",6.0215286040417,12.3213914741903,"A, B, C, D"
208,"fox","Spanish","zorro","ˈθo.ro","""To.ro",0,4,2,"To, ro",6.0215286040417,13.372447725066,"A, B, C, D"
214,"beard","Catalan","barba","ˈbar.βə","""bar.B@",0.6,5,2,"bar, B@",5.9362640949186,12.8348631445146,"D"
214,"beard","Spanish","barba","ˈbaɾ.βa","""ba4.Ba",0.6,5,2,"ba4, Ba",5.9362640949186,12.5369463322818,"D"
215,"chin","Catalan","barbeta","bərˈβɛ.tə","b@r""BE.t@",0.285714285714286,7,3,"b@r, BE, t@",5.7896681010058,20.1236232712046,"A"
215,"chin","Spanish","barbilla","baɾˈβi.ʎa","ba4""Bi.La",0.285714285714286,7,3,"ba4, Bi, La",5.7896681010058,19.5854643594906,"A"
216,"tummy","Catalan","panxa","ˈpaɲ.ʃə","""paJ.S@",0.166666666666667,5,2,"paJ, S@",5.89429932376219,12.6600831818572,"A, B, C, D"
216,"tummy","Spanish","barriga","baˈri.ɣa","ba""ri.Ga",0.166666666666667,6,3,"ba, ri, Ga",5.89429932376219,19.7265269675683,"A, B, C, D"
217,"mustache","Catalan","bigoti","biˈɣɔ.ti","bi""GO.ti",0.666666666666667,6,3,"bi, GO, ti",5.98850073952057,19.3153475147148,"C"
217,"mustache","Spanish","bigote","biˈɣo.te","bi""Go.te",0.666666666666667,6,3,"bi, Go, te",5.98850073952057,19.9856517976202,"C"
218,"mouth","Catalan","boca","ˈbo.kə","""bo.k@",0.75,4,2,"bo, k@",6.09543062446078,13.9048002957504,"A, B, C, D"
218,"mouth","Spanish","boca","ˈbo.ka","""bo.ka",0.75,4,2,"bo, ka",6.09543062446078,14.3530138778818,"A, B, C, D"
219,"arm","Catalan","brac","bɾas","b4as",0.666666666666667,4,1,"b4as",5.89873772490432,5.89873772490432,"A"
219,"arm","Spanish","brazo","ˈbɾa.θos","""b4a.Tos",0.666666666666667,6,2,"b4a, Tos",5.89873772490432,11.7974754498086,"A"
220,"head","Catalan","cap","kap","kap",0.333333333333333,3,1,"kap",6.05574490852964,6.05574490852964,"B"
220,"head","Spanish","cabeza","kaˈbe.θa","ka""be.Ta",0.333333333333333,6,3,"ka, be, Ta",6.05574490852964,21.2764250544453,"B"
221,"face","Catalan","cara","ˈka.ɾə","""ka.4@",0.75,4,2,"ka, 4@",5.97904376794839,14.2305696831198,"C"
221,"face","Spanish","cara","ˈka.ɾa","""ka.4a",0.75,4,2,"ka, 4a",5.97904376794839,14.7294341515082,"C"
222,"eyebrow","Catalan","cella","ˈsɛ.ʎə","""sE.L@",0,4,2,"sE, L@",5.77607538244006,12.7871896363879,"D"
222,"eyebrow","Spanish","ceja","ˈθe.xas","""Te.xas",0,5,2,"Te, xas",5.77607538244006,13.3671487091047,"D"
223,"neck","Catalan","coll","kɔʎ","kOL",0.4,3,1,"kOL",5.89781329037591,5.89781329037591,"A"
223,"neck","Spanish","cuello","ˈkue.ʎo","""kue.Lo",0.4,5,2,"kue, Lo",5.89781329037591,12.9223218850932,"A"
224,"butt","Catalan","cul","kuɫ","ku5",0.5,3,1,"ku5",5.77169590517457,5.77169590517457,"B"
224,"butt","Spanish","culo","ˈku.lo","""ku.lo",0.5,4,2,"ku, lo",5.77169590517457,13.7649499693179,"B"
225,"finger","Catalan","dit","dits","dits",0.4,4,1,"dits",5.9355041275414,5.9355041275414,"C"
225,"finger","Spanish","dedo","ˈde.ðos","""de.Dos",0.4,5,2,"de, Dos",5.9355041275414,11.8710082550828,"C"
226,"tooth","Catalan","dent","dens","dens",0.571428571428571,4,1,"dens",5.89654834598962,5.89654834598962,"D"
226,"tooth","Spanish","diente","ˈdjen.tes","""djen.tes",0.571428571428571,7,2,"djen, tes",5.89654834598962,12.4442738938839,"D"
227,"lip","Catalan","llavi","ˈʎa.βis","""La.Bis",0.5,5,2,"La, Bis",5.81151052322363,12.3233379613026,"A"
227,"lip","Spanish","labio","ˈla.βjos","""la.Bjos",0.5,6,2,"la, Bjos",5.81151052322363,12.5783579050914,"A"
228,"tongue","Catalan","llengua","ˈʎeŋ.ɡwə","""LeN.gw@",0.5,6,2,"LeN, gw@",5.91185559405105,11.8237111881021,"B"
228,"tongue","Spanish","lengua","ˈlen.ɡwa","""len.gwa",0.5,6,2,"len, gwa",5.91185559405105,12.2303207956141,"B"
230,"hand","Catalan","ma","mə","m@",0.2,2,1,"m@",6.04732343657776,7.11557819987879,"A, B, C, D"
230,"hand","Spanish","mano","ˈma.nos","""ma.nos",0.2,5,2,"ma, nos",6.04732343657776,13.3314789945276,"A, B, C, D"
231,"cheek","Catalan","galta","ˈɡaɫ.tə","""ga5.t@",0,5,2,"ga5, t@",5.73990848762105,13.264888729218,"A"
231,"cheek","Spanish","mejilla","meˈxi.ʎa","me""xi.La",0,6,3,"me, xi, La",5.73990848762105,19.8644966925073,"A"
232,"nose","Catalan","nas","nas","nas",0.4,3,1,"nas",6.11696258576223,6.11696258576223,"B"
232,"nose","Spanish","nariz","naˈɾiθ","na""4iT",0.4,5,2,"na, 4iT",6.11696258576223,13.4112234191021,"B"
233,"eye","Catalan","ull","uʎs","uLs",0.25,3,1,"uLs",5.96366976647216,5.96366976647216,"A, B, C, D"
233,"eye","Spanish","ojo","ˈo.xos","""o.xos",0.25,4,2,"o, xos",5.96366976647216,13.0219687229406,"A, B, C, D"
235,"ear","Catalan","orella","uˈɾɛ.ʎə","u""4E.L@",0.166666666666667,5,3,"u, 4E, L@",5.89749219078013,19.8171356735376,"A, B, C, D"
235,"ear","Spanish","oreja","o.ɾeˈxas","o.4e""xas",0.166666666666667,6,3,"o, 4e, xas",5.89749219078013,20.0664733543957,"A, B, C, D"
237,"foot","Catalan","peu","pɛw","pEw",0.333333333333333,3,1,"pEw",6.0783580305263,6.0783580305263,"A, B, C, D"
237,"foot","Spanish","pie","pie","pie",0.333333333333333,3,1,"pie",6.0783580305263,6.0783580305263,"A, B, C, D"
238,"leg","Catalan","cama","ˈka.mə","""ka.m@",0,4,2,"ka, m@",5.85455538562518,13.9657632493663,"A, B, C, D"
238,"leg","Spanish","pierna","ˈpjeɾ.nas","""pje4.nas",0,7,2,"pje4, nas",5.85455538562518,11.7091107712504,"A, B, C, D"
239,"knee","Catalan","genoll","ʒəˈnoʎs","Z@""noLs",0.285714285714286,6,2,"Z@, noLs",5.85859870389796,12.6119976983563,"A"
239,"knee","Spanish","rodilla","roˈɣi.ʎas","ro""Gi.Las",0.285714285714286,7,3,"ro, Gi, Las",5.85859870389796,18.8275872483298,"A"
240,"fingernail","Catalan","ungla","ˈuŋ.ɡɫə","""uN.g5@",0.2,5,2,"uN, g5@",5.72182423855839,11.4436484771168,"A, B, C, D"
