"uni_lemma","words"
"take","llevar(se), tomar(se)"
"take out","sacar"
"teacher","maestra"
"teddybear","osito"
"telephone","teléfono"
"thank you","gracias"
"that","aquel, aquella, esa, ese, eso"
"the","el (articles), la, las, los"
"them","les"
"there","ahí, alla/allí"
"these","éstas, éstos"
"they","ellas, ellos"
"thirsty","sed"
"this","ésta, éste, esto"
"those","esas, esos"
"throw","aventar, tirar"
"tickle","cosquillitas"
"tiger","tigre"
"tired","cansado"
"today","hoy"
"tomorrow","mañana"
"tongue","lengua"
"tooth","dientes"
"toothbrush","cepillo de dientes"
"tortilla","tortilla"
"touch","tocar"
"towel","toalla"
"toy (object)","juguete"
"train","tren"
"trash","basura"
"tree","árbol"
"truck","camión/troca"
"tummy","panza"
"turkey","guajolote"
"turn off","apagar"
"turn on","prender"
"turtle","tortuga"
"tv","televisión"
"tweet tweet","pío pío"
"ugly","feo"
"uncle","tío"
"underpants","calzón"
"up","arriba"
"vacuum","aspiradora"
"wait","esperar(se)"
"walk","caminar"
"wanna","querer"
"wash","lavar(se)"
"watch (object)","reloj"
"water (beverage)","agua"
"wet (action)","mojar(se)"
"what","qué"
"where (question)","dónde está"
"which (question)","cuál"
"who","quién"
"why","por qué"
"window","ventana"
"wolf","lobo"
"woman","señora"
"woof woof","guaguá"
"work (action)","trabajar"
"write","escribir"
"yellow","amarillo"
"yes","sí"
"yesterday","ayer"
"you","te, tú"
"your","tuya, tuyas, tuyo, tuyos"
"yucky","fuchi"
"yum yum","¡am!"
"zipper","cierre"
"zoo","zoológico"
